run_id,rng_run,rng_seed,harness_version,header_version,n_nodes,grid_x,grid_y,mobility,radio_range,min_hops_required,num_attackers,attackers_list,spoof_count,attacker_jitter,defense_variant,redundant_mpr,malicious_threshold,uncertainty_beta,fading_factor,max_load,max_delay,cheat_threshold,trust_update_interval_s,phy_trace_available,wall_clock_seconds,random_window_order,window_order_perm,slot0_scenario
2,2,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,25.651968,0,0|1|2|3,baseline
7,7,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,34.999839,0,0|1|2|3,baseline
8,8,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,26.275479,0,0|1|2|3,baseline
9,9,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,26.736340,0,0|1|2|3,baseline
12,12,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,28.398733,0,0|1|2|3,baseline
18,18,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,32.595983,0,0|1|2|3,baseline
24,24,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,28.082967,0,0|1|2|3,baseline
28,28,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,24.949845,0,0|1|2|3,baseline
31,31,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,29.368977,0,0|1|2|3,baseline
35,35,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,25.743184,0,0|1|2|3,baseline
42,42,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,33.923991,0,0|1|2|3,baseline
43,43,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,25.607183,0,0|1|2|3,baseline
45,45,1,2.2.0,2,50,750.000000,1000.000000,0,190.000000,3,1,2,5,25.000000,DCFM-OLSR,0,-1,-1,-1,-1,-1,-1,-1,1,25.373351,0,0|1|2|3,baseline
