run_id,scenario,window_start,window_end,window_duration_s,TcPacketRate,MidPacketRate,HnaPacketRate,TcBytesPerSecond,MidBytesPerSecond,HnaBytesPerSecond,DataPacketRate,DataBytesPerSecond,PerNodeTcRateStd,PerNodeTcBytesStd,PerNodeTcBytesGini,TcMessageSizeMean,TcMessageSizeStd,TcMessageSizeP95,TcMessageSizeMax,AdvertisedLinksPerTcMean,AdvertisedLinksPerTcStd,AdvertisedLinksPerTcP95,AdvertisedLinksPerTcMax,TcAnsnIncrementMean,TcAnsnSkipCount,NumDistinctTcSenderNodesPerWindow,TcMessageContentEntropy,TcVtimeMean,TcVtimeStd,NumDistinctAddressesInTcAdvertisements,NumDistinctTcSenderAddresses,NumPhantomAddresses,NumAsymmetricAdvertisements,NumEphemeralAddresses,MprSelectorCountPerTcMean,MprSelectorCountPerTcStd,NumberOfMprChurnEvents,NumDistinctMprSetsObserved,ObservedHopCountMean,ObservedHopCountStd,ObservedHopCountMax,NumPathChangesPerFlow,NumDistinctNextHopsPerSource,RtsRateLocal,CtsRateLocal,AckRateLocal,Layer2RetransmissionRate,ChannelBusyTimeFraction,AckDelayMean,AckDelayStd,InterFrameSpacingMean,PacketsDeliveredCount,PacketsSentCount,EndToEndLatencyMean,EndToEndLatencyStd,JitterMean,ThroughputBitsPerSecond,TcInterArrivalMean,TcInterArrivalStd,TcInterArrivalP95,TcBurstinessHurst,ControlMessageInterArrivalSkew,ControlMessageInterArrivalKurtosis,TcSenderAddressEntropy,TcAdvertisedAddressEntropy,PacketSizeDistributionSkew,PacketSizeDistributionKurtosis,TcPayloadByteDistributionEntropy,AdvertisedAverageDegree,AdvertisedDegreeStd,AdvertisedDegreeSkew,AdvertisedDegreeKurtosis,NumberOfDegreeOneNodes,AdvertisedClusteringCoefficient,NumberOfTrianglesInAdvertisedGraph,AdvertisedConnectivityComponents,AdvertisedDiameter,AdvertisedRadius,AdvertisedGraphDensity,BetweennessCentralityMean,BetweennessCentralityStd,BetweennessCentralityMax,ClosenessCentralityMean,ClosenessCentralityStd,EdgePersistenceMean,EdgeEmergenceWithinWindowRate,EdgeChurnWithinWindowRate,NumberOfHexagonalCycles,NumberOfShortCycles,AdvertisedSpectralRadius
2,baseline,120.000000,160.000000,40.000000,136.600000,0.000000,0.000000,4546.900000,0.000000,0.000000,0.450000,243.000000,0.260033,30.527368,0.120955,33.286237,7.303105,48.000000,48.000000,4.321559,1.825776,8.000000,8.000000,0.000000,0,32,4.997319,15.000000,0.000000,50,32,18,65,0,4.321559,1.825776,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.375000,2.375000,2.375000,0.000000,0.010158,0.000715,0.000000,0.035438,18,18,0.022853,0.012238,0.003333,1944.000000,0.212708,0.785028,0.300953,0.220290,27.556693,769.863104,4.997319,5.532812,15.836428,264.632116,5.532812,4.080000,1.988366,0.271030,-0.972846,5,0.252714,34,1,8,4,0.083265,61.120000,66.139661,254.900085,0.295221,0.051289,36.153744,0.000000,0.000000,379,282,5.473046
2,attack_only,220.000000,260.000000,40.000000,135.025000,0.000000,0.000000,4537.200000,0.000000,0.000000,0.450000,243.000000,0.218994,36.509414,0.132959,33.602666,9.146014,48.000000,68.000000,4.400667,2.286503,8.000000,13.000000,0.260756,7,32,4.998097,15.000000,0.000000,50,32,18,70,0,4.400667,2.286503,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.250000,2.250000,2.250000,0.000000,0.003711,0.000622,0.000000,0.037527,18,18,0.008838,0.002188,0.000652,1944.000000,0.215267,0.761474,0.317470,0.213635,27.361821,758.289406,4.998097,5.535939,15.028812,245.011295,5.535939,4.240000,2.267686,1.080805,2.425747,5,0.270055,41,1,8,4,0.086531,58.180000,72.032904,381.598755,0.306776,0.056014,36.175531,0.000000,0.000000,508,347,5.908667
2,defense_only,320.000000,360.000000,40.000000,461.100000,0.000000,0.000000,18887.800000,0.000000,0.000000,0.450000,243.000000,0.279582,91.022540,0.138252,40.962481,9.842663,56.000000,60.000000,6.240620,2.460666,10.000000,11.000000,0.000163,1,50,5.643181,15.000000,0.000000,91,50,41,66,0,6.240620,2.460666,0,50,5.000000,0.000000,5.000000,0.000000,1.000000,2.350000,2.275000,2.250000,0.000730,0.009324,0.000622,0.000000,0.022977,18,18,0.019594,0.008267,0.003546,1944.000000,0.098421,0.519558,0.116380,0.226578,51.323651,2678.698788,5.643181,6.076842,19.284176,520.192447,5.566989,4.153846,3.298095,0.408263,-1.392197,41,0.232244,160,1,10,5,0.046154,148.725275,206.591743,978.577479,0.240431,0.044502,36.279284,0.000000,0.000000,3877,1991,7.399650
2,defense_vs_attack,420.000000,460.000000,40.000000,455.525000,0.000000,0.000000,18390.400000,0.000000,0.000000,0.450000,243.000000,0.702871,84.593188,0.132274,40.371879,9.500771,56.000000,68.000000,6.092970,2.375193,10.000000,13.000000,0.062792,37,50,5.870978,15.000000,0.000000,92,50,42,64,3,6.092970,2.375193,38,68,5.000000,0.000000,5.000000,0.000000,1.000000,2.375000,2.250000,2.250000,0.000000,0.004929,0.000622,0.000000,0.022421,18,18,0.011344,0.004674,0.002100,1944.000000,0.099388,0.517857,0.126052,0.222189,50.390351,2580.118596,5.638577,6.065849,19.864929,538.798379,5.573544,4.304348,3.604765,0.819109,0.334627,40,0.249176,174,1,10,5,0.047301,142.173913,229.652137,1656.184905,0.252453,0.050629,34.456631,0.200000,0.025000,5562,2428,8.040028
7,baseline,120.000000,160.000000,40.000000,96.525000,0.000000,0.000000,3377.200000,0.000000,0.000000,0.450000,243.000000,0.271104,42.699855,0.192657,34.987827,11.533859,52.000000,60.000000,4.746957,2.883465,9.000000,11.000000,0.000000,0,28,4.802852,15.000000,0.000000,50,28,21,72,0,4.746957,2.883465,0,28,6.000000,0.000000,6.000000,0.000000,1.000000,2.900000,2.850000,2.850000,0.000000,0.012247,0.000714,0.000000,0.038327,18,18,0.027527,0.013739,0.003832,1944.000000,0.263610,0.835893,3.033433,0.228391,23.293546,551.857943,4.802852,5.487232,12.423096,169.553751,5.487232,4.080000,2.636968,0.953873,0.343276,9,0.244603,38,1,8,4,0.083265,62.100000,84.595584,362.891763,0.294084,0.055481,36.058526,0.000000,0.000000,501,354,5.799853
7,attack_only,220.000000,260.000000,40.000000,93.775000,0.000000,0.000000,3314.700000,0.000000,0.000000,0.450000,243.000000,0.253677,48.440398,0.218157,35.347374,13.440136,60.000000,68.000000,4.836844,3.360034,11.000000,13.000000,0.376041,7,28,4.803275,15.000000,0.000000,50,28,21,76,0,4.836844,3.360034,0,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.950000,0.950000,0.950000,0.000000,0.004063,0.000715,0.000000,0.056701,0,18,0.000000,0.000000,0.000000,0.000000,0.270996,0.857439,3.240724,0.221627,22.907875,533.156981,4.803275,5.502842,11.683870,154.259175,5.502842,4.200000,2.891366,1.225228,0.924750,8,0.306657,45,1,8,4,0.085714,55.600000,93.582113,482.550794,0.317117,0.058067,36.091943,0.000000,0.000000,629,414,6.127798
7,defense_only,320.000000,360.000000,40.000000,423.750000,0.000000,0.000000,17894.400000,0.000000,0.000000,0.450000,243.000000,0.304138,113.959485,0.181892,42.228673,13.745538,64.000000,76.000000,6.557168,3.436384,12.000000,15.000000,0.000710,6,50,5.642911,15.000000,0.000000,82,50,32,89,0,6.557168,3.436384,0,50,6.000000,0.000000,6.000000,0.000000,1.000000,2.800000,2.700000,2.700000,0.000000,0.004554,0.000621,0.000000,0.022645,18,18,0.011194,0.003024,0.001513,1944.000000,0.106838,0.539144,0.121538,0.221678,48.671729,2409.622687,5.642911,5.952732,13.662981,315.799910,5.568978,5.097561,4.001859,0.404460,-1.097027,32,0.282342,244,1,10,5,0.062933,134.634146,195.762321,1106.488932,0.242119,0.050907,36.240389,0.000000,0.000000,19704,5719,9.312192
7,defense_vs_attack,420.000000,460.000000,40.000000,434.025000,0.000000,0.000000,19473.100000,0.000000,0.000000,0.450000,243.000000,1.230348,127.809300,0.183096,44.866310,14.344890,68.000000,76.000000,7.216577,3.586222,13.000000,15.000000,0.042863,36,50,5.786957,15.000000,0.000000,89,50,39,85,5,7.216577,3.586222,18,63,6.000000,0.000000,6.000000,1.000000,2.000000,2.025000,1.975000,1.975000,0.000000,0.006881,0.000635,0.000033,0.023165,10,18,0.024415,0.003970,0.002795,1080.000000,0.104714,0.530300,0.133999,0.249556,49.083827,2453.541922,5.616428,5.957512,12.728742,291.386242,5.550203,5.325843,4.526514,0.500265,-1.146733,37,0.295791,320,1,9,5,0.060521,131.449438,232.744752,1506.778996,0.261461,0.052971,34.486246,0.125000,0.100000,36932,9260,10.184190
8,baseline,120.000000,160.000000,40.000000,115.400000,0.000000,0.000000,3748.600000,0.000000,0.000000,0.450000,243.000000,0.134109,33.241854,0.133527,32.483536,8.148225,48.000000,52.000000,4.120884,2.037056,8.000000,9.000000,0.000436,1,27,4.754185,15.000000,0.000000,50,27,23,56,0,4.120884,2.037056,0,27,5.000000,0.000000,5.000000,0.000000,1.000000,2.450000,2.400000,2.375000,0.001316,0.010255,0.000714,0.000000,0.036080,18,18,0.022816,0.011889,0.003651,1944.000000,0.215259,0.668217,0.349826,0.255907,25.789808,696.546715,4.754185,5.592183,14.480296,221.654751,5.592183,3.360000,1.852134,1.052719,0.498089,3,0.225095,17,1,9,7,0.068571,86.300000,88.528782,316.800195,0.223006,0.020485,36.594375,0.000000,0.000000,32,88,4.247691
8,attack_only,220.000000,260.000000,40.000000,111.050000,0.000000,0.000000,3712.100000,0.000000,0.000000,0.450000,243.000000,0.133498,37.824703,0.147359,33.427285,9.218629,52.000000,56.000000,4.356821,2.304657,9.000000,10.000000,0.317029,7,26,4.699741,15.000000,0.000000,50,26,24,58,0,4.356821,2.304657,0,26,5.000000,0.000000,5.000000,0.000000,1.000000,2.275000,2.250000,2.250000,0.000000,0.003728,0.000621,0.000000,0.036917,18,18,0.008857,0.002194,0.000694,1944.000000,0.215012,0.650878,0.337230,0.255316,24.722227,624.995968,4.699741,5.555218,13.899560,206.933308,5.555218,3.440000,2.201454,1.199495,0.867966,6,0.235333,22,1,9,7,0.070204,80.520000,90.902610,305.898764,0.236145,0.025953,36.546446,0.000000,0.000000,83,128,4.928425
