run_id,scenario,window_start,window_end,defense_enabled,attack_enabled,attacker_on_path,num_attackers_label
2,baseline,120.000000,160.000000,0,0,0,1
2,attack_only,220.000000,260.000000,0,1,0,1
2,defense_only,320.000000,360.000000,1,0,0,1
2,defense_vs_attack,420.000000,460.000000,1,1,0,1
7,baseline,120.000000,160.000000,0,0,1,1
7,attack_only,220.000000,260.000000,0,1,1,1
7,defense_only,320.000000,360.000000,1,0,1,1
7,defense_vs_attack,420.000000,460.000000,1,1,0,1
8,baseline,120.000000,160.000000,0,0,0,1
8,attack_only,220.000000,260.000000,0,1,0,1
8,defense_only,320.000000,360.000000,1,0,0,1
8,defense_vs_attack,420.000000,460.000000,1,1,0,1
9,baseline,120.000000,160.000000,0,0,1,1
9,attack_only,220.000000,260.000000,0,1,1,1
9,defense_only,320.000000,360.000000,1,0,1,1
9,defense_vs_attack,420.000000,460.000000,1,1,0,1
12,baseline,120.000000,160.000000,0,0,0,1
12,attack_only,220.000000,260.000000,0,1,0,1
12,defense_only,320.000000,360.000000,1,0,0,1
12,defense_vs_attack,420.000000,460.000000,1,1,0,1
18,baseline,120.000000,160.000000,0,0,0,1
18,attack_only,220.000000,260.000000,0,1,0,1
18,defense_only,320.000000,360.000000,1,0,0,1
18,defense_vs_attack,420.000000,460.000000,1,1,0,1
24,baseline,120.000000,160.000000,0,0,1,1
24,attack_only,220.000000,260.000000,0,1,1,1
24,defense_only,320.000000,360.000000,1,0,1,1
24,defense_vs_attack,420.000000,460.000000,1,1,0,1
28,baseline,120.000000,160.000000,0,0,1,1
28,attack_only,220.000000,260.000000,0,1,1,1
28,defense_only,320.000000,360.000000,1,0,1,1
28,defense_vs_attack,420.000000,460.000000,1,1,0,1
31,baseline,120.000000,160.000000,0,0,0,1
31,attack_only,220.000000,260.000000,0,1,0,1
31,defense_only,320.000000,360.000000,1,0,0,1
31,defense_vs_attack,420.000000,460.000000,1,1,0,1
35,baseline,120.000000,160.000000,0,0,0,1
35,attack_only,220.000000,260.000000,0,1,0,1
35,defense_only,320.000000,360.000000,1,0,0,1
35,defense_vs_attack,420.000000,460.000000,1,1,0,1
42,baseline,120.000000,160.000000,0,0,0,1
42,attack_only,220.000000,260.000000,0,1,0,1
42,defense_only,320.000000,360.000000,1,0,0,1
42,defense_vs_attack,420.000000,460.000000,1,1,0,1
43,baseline,120.000000,160.000000,0,0,0,1
43,attack_only,220.000000,260.000000,0,1,1,1
43,defense_only,320.000000,360.000000,1,0,0,1
43,defense_vs_attack,420.000000,460.000000,1,1,0,1
45,baseline,120.000000,160.000000,0,0,0,1
45,attack_only,220.000000,260.000000,0,1,1,1
45,defense_only,320.000000,360.000000,1,0,0,1
45,defense_vs_attack,420.000000,460.000000,1,1,0,1
47,baseline,120.000000,160.000000,0,0,0,1
47,attack_only,220.000000,260.000000,0,1,0,1
47,defense_only,320.000000,360.000000,1,0,0,1
47,defense_vs_attack,420.000000,460.000000,1,1,0,1
49,baseline,120.000000,160.000000,0,0,0,1
49,attack_only,220.000000,260.000000,0,1,0,1
49,defense_only,320.000000,360.000000,1,0,0,1
49,defense_vs_attack,420.000000,460.000000,1,1,0,1
56,baseline,120.000000,160.000000,0,0,0,1
56,attack_only,220.000000,260.000000,0,1,0,1
56,defense_only,320.000000,360.000000,1,0,0,1
56,defense_vs_attack,420.000000,460.000000,1,1,0,1
62,baseline,120.000000,160.000000,0,0,0,1
62,attack_only,220.000000,260.000000,0,1,0,1
62,defense_only,320.000000,360.000000,1,0,0,1
62,defense_vs_attack,420.000000,460.000000,1,1,0,1
63,baseline,120.000000,160.000000,0,0,0,1
63,attack_only,220.000000,260.000000,0,1,0,1
63,defense_only,320.000000,360.000000,1,0,0,1
63,defense_vs_attack,420.000000,460.000000,1,1,0,1
64,baseline,120.000000,160.000000,0,0,0,1
64,attack_only,220.000000,260.000000,0,1,0,1
64,defense_only,320.000000,360.000000,1,0,0,1
64,defense_vs_attack,420.000000,460.000000,1,1,0,1
65,baseline,120.000000,160.000000,0,0,0,1
65,attack_only,220.000000,260.000000,0,1,0,1
65,defense_only,320.000000,360.000000,1,0,0,1
65,defense_vs_attack,420.000000,460.000000,1,1,0,1
66,baseline,120.000000,160.000000,0,0,0,1
66,attack_only,220.000000,260.000000,0,1,0,1
66,defense_only,320.000000,360.000000,1,0,0,1
