run_id,scenario,window_start,window_end,throughput_mbps,pdr_percent,avg_delay_s,tx_packets,rx_packets,rx_bytes,udp_rx_in_window,udp_expected_in_window,udp_loss_percent,overhead_ratio,hello_count,olsr_control_bytes_with_hello,path_hops_internal,min_attacker_trust,avg_attacker_trust,blacklist_max_size,mac_tx_in_window,mac_drop_in_window,mac_tx_total,mac_drop_total
2,baseline,120.000000,160.000000,0.001944,100.000000,0.026630,18,18,9720,18,18,0.000000,30.764198,1000,299028,5,1.000000,1.000000,0,1781,0,6609,0
2,attack_only,220.000000,260.000000,0.001944,100.000000,0.009892,18,18,9720,18,18,0.000000,30.661728,1000,298032,5,1.000000,1.000000,0,1737,0,10796,0
2,defense_only,320.000000,360.000000,0.001944,100.000000,0.022951,18,18,9720,18,18,0.000000,92.423868,1000,898360,5,1.000000,1.000000,0,2369,0,16535,0
2,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.012817,18,18,9720,18,18,0.000000,90.535802,1000,880008,5,0.000000,0.836735,1,2416,0,22332,0
7,baseline,120.000000,160.000000,0.001944,100.000000,0.031303,18,18,9720,18,18,0.000000,26.948148,1000,261936,6,1.000000,1.000000,0,1644,0,6156,0
7,attack_only,220.000000,260.000000,0.000000,0.000000,0.000000,18,0,0,0,18,100.000000,0.000000,1000,259564,6,1.000000,1.000000,0,1553,0,10035,0
7,defense_only,320.000000,360.000000,0.001944,100.000000,0.012248,18,18,9720,18,18,0.000000,89.567078,1000,870592,6,1.000000,1.000000,0,2346,0,15630,0
7,defense_vs_attack,420.000000,460.000000,0.001080,55.555556,0.027540,18,10,5400,10,18,44.444444,173.541481,1000,937124,6,0.000000,0.836735,1,2399,0,21452,0
8,baseline,120.000000,160.000000,0.001944,100.000000,0.026592,18,18,9720,18,18,0.000000,26.978601,1000,262232,5,1.000000,1.000000,0,1759,0,6650,0
8,attack_only,220.000000,260.000000,0.001944,100.000000,0.009911,18,18,9720,18,18,0.000000,26.887654,1000,261348,5,1.000000,1.000000,0,1752,0,10909,0
8,defense_only,320.000000,360.000000,0.001944,100.000000,0.022338,18,18,9720,18,18,0.000000,86.412757,1000,839932,5,1.000000,1.000000,0,2644,0,17332,0
8,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.012035,18,18,9720,18,18,0.000000,88.147325,1000,856792,5,0.000000,0.897959,1,2583,0,23648,0
9,baseline,120.000000,160.000000,0.001944,100.000000,0.030801,18,18,9720,18,18,0.000000,25.380658,1000,246700,6,1.000000,1.000000,0,1685,0,6246,0
9,attack_only,220.000000,260.000000,0.000000,0.000000,0.000000,18,0,0,0,18,100.000000,0.000000,1000,247660,6,1.000000,1.000000,0,1671,0,10337,0
9,defense_only,320.000000,360.000000,0.001944,100.000000,0.021633,18,18,9720,18,18,0.000000,88.459671,1000,859828,6,1.000000,1.000000,0,2583,0,16630,0
9,defense_vs_attack,420.000000,460.000000,0.000000,0.000000,0.000000,13,0,0,0,18,100.000000,0.000000,1000,689264,0,0.000000,0.897959,2,2681,0,23042,0
12,baseline,120.000000,160.000000,0.001944,100.000000,0.015051,18,18,9720,18,18,0.000000,31.982305,1000,310868,3,1.000000,1.000000,0,1813,0,6952,0
12,attack_only,220.000000,260.000000,0.001944,100.000000,0.005790,18,18,9720,18,18,0.000000,30.446091,1000,295936,3,1.000000,1.000000,0,1811,0,11414,0
12,defense_only,320.000000,360.000000,0.001944,100.000000,0.012812,18,18,9720,18,18,0.000000,92.697531,1000,901020,3,1.000000,1.000000,0,2507,0,17469,0
12,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.007787,18,18,9720,18,18,0.000000,90.913169,1000,883676,3,0.000000,0.877551,1,2397,0,23411,0
18,baseline,120.000000,160.000000,0.001944,100.000000,0.020282,18,18,9720,18,18,0.000000,30.249794,1000,294028,4,1.000000,1.000000,0,1696,0,6393,0
18,attack_only,220.000000,260.000000,0.001944,100.000000,0.007999,18,18,9720,18,18,0.000000,30.072016,1000,292300,4,1.000000,1.000000,0,1657,0,10471,0
