run_id,scenario,window_start,window_end,defense_enabled,attack_enabled,attacker_on_path,num_attackers_label
100000004,baseline,120.000000,160.000000,0,0,0,1
100000004,defense_only,220.000000,260.000000,1,0,0,1
100000004,defense_vs_attack,320.000000,360.000000,1,1,0,1
100000004,attack_only,420.000000,460.000000,0,1,0,1
100000010,attack_only,120.000000,160.000000,0,1,0,1
100000010,baseline,220.000000,260.000000,0,0,0,1
100000010,defense_only,320.000000,360.000000,1,0,0,1
100000010,defense_vs_attack,420.000000,460.000000,1,1,0,1
100000018,defense_vs_attack,120.000000,160.000000,1,1,0,1
100000018,attack_only,220.000000,260.000000,0,1,1,1
100000018,defense_only,320.000000,360.000000,1,0,1,1
100000018,baseline,420.000000,460.000000,0,0,1,1
100000019,defense_only,120.000000,160.000000,1,0,0,1
100000019,baseline,220.000000,260.000000,0,0,0,1
100000019,attack_only,320.000000,360.000000,0,1,0,1
100000019,defense_vs_attack,420.000000,460.000000,1,1,0,1
100000020,baseline,120.000000,160.000000,0,0,0,1
100000020,defense_only,220.000000,260.000000,1,0,0,1
100000020,defense_vs_attack,320.000000,360.000000,1,1,0,1
100000020,attack_only,420.000000,460.000000,0,1,0,1
100000021,defense_vs_attack,120.000000,160.000000,1,1,0,1
100000021,attack_only,220.000000,260.000000,0,1,0,1
100000021,defense_only,320.000000,360.000000,1,0,0,1
100000021,baseline,420.000000,460.000000,0,0,0,1
100000023,defense_vs_attack,120.000000,160.000000,1,1,0,1
100000023,attack_only,220.000000,260.000000,0,1,0,1
100000023,baseline,320.000000,360.000000,0,0,0,1
100000023,defense_only,420.000000,460.000000,1,0,0,1
100000026,baseline,120.000000,160.000000,0,0,0,1
100000026,defense_vs_attack,220.000000,260.000000,1,1,0,1
100000026,attack_only,320.000000,360.000000,0,1,0,1
100000026,defense_only,420.000000,460.000000,1,0,0,1
100000036,attack_only,120.000000,160.000000,0,1,1,1
100000036,baseline,220.000000,260.000000,0,0,1,1
100000036,defense_vs_attack,320.000000,360.000000,1,1,0,1
100000036,defense_only,420.000000,460.000000,1,0,1,1
100000037,defense_only,120.000000,160.000000,1,0,1,1
100000037,baseline,220.000000,260.000000,0,0,1,1
100000037,attack_only,320.000000,360.000000,0,1,1,1
100000037,defense_vs_attack,420.000000,460.000000,1,1,0,1
100000044,defense_vs_attack,120.000000,160.000000,1,1,0,1
100000044,attack_only,220.000000,260.000000,0,1,1,1
100000044,baseline,320.000000,360.000000,0,0,1,1
100000044,defense_only,420.000000,460.000000,1,0,1,1
100000048,attack_only,120.000000,160.000000,0,1,0,1
100000048,baseline,220.000000,260.000000,0,0,0,1
100000048,defense_vs_attack,320.000000,360.000000,1,1,0,1
100000048,defense_only,420.000000,460.000000,1,0,0,1
100000053,defense_vs_attack,120.000000,160.000000,1,1,0,1
100000053,baseline,220.000000,260.000000,0,0,0,1
100000053,defense_only,320.000000,360.000000,1,0,0,1
100000053,attack_only,420.000000,460.000000,0,1,1,1
100000060,attack_only,120.000000,160.000000,0,1,0,1
100000060,defense_vs_attack,220.000000,260.000000,1,1,0,1
100000060,baseline,320.000000,360.000000,0,0,0,1
100000060,defense_only,420.000000,460.000000,1,0,0,1
100000063,defense_only,120.000000,160.000000,1,0,1,1
100000063,baseline,220.000000,260.000000,0,0,1,1
100000063,defense_vs_attack,320.000000,360.000000,1,1,0,1
100000063,attack_only,420.000000,460.000000,0,1,1,1
100000064,baseline,120.000000,160.000000,0,0,0,1
100000064,defense_only,220.000000,260.000000,1,0,0,1
100000064,defense_vs_attack,320.000000,360.000000,1,1,0,1
100000064,attack_only,420.000000,460.000000,0,1,1,1
100000065,baseline,120.000000,160.000000,0,0,1,1
100000065,defense_vs_attack,220.000000,260.000000,1,1,0,1
100000065,attack_only,320.000000,360.000000,0,1,1,1
100000065,defense_only,420.000000,460.000000,1,0,1,1
100000066,attack_only,120.000000,160.000000,0,1,0,1
100000066,defense_vs_attack,220.000000,260.000000,1,1,0,1
100000066,defense_only,320.000000,360.000000,1,0,1,1
100000066,baseline,420.000000,460.000000,0,0,1,1
100000067,defense_vs_attack,120.000000,160.000000,1,1,0,1
100000067,defense_only,220.000000,260.000000,1,0,0,1
100000067,attack_only,320.000000,360.000000,0,1,0,1
100000067,baseline,420.000000,460.000000,0,0,0,1
100000069,defense_vs_attack,120.000000,160.000000,1,1,0,1
100000069,attack_only,220.000000,260.000000,0,1,0,1
100000069,baseline,320.000000,360.000000,0,0,0,1
100000069,defense_only,420.000000,460.000000,1,0,0,1
100000071,defense_vs_attack,120.000000,160.000000,1,1,0,1
100000071,attack_only,220.000000,260.000000,0,1,0,1
