seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
1,1,0,rejected,assert_connectivity,60.000000,1,6.240000,3.095545,0.000000,12.000000,8.400000,4.779121,47.040000,6.720000,0,0,60.286439
5,5,0,rejected,assert_connectivity,60.000000,1,5.920000,2.415285,0.000000,12.000000,6.920000,4.039010,39.840000,12.485768,0,0,61.863788
3,3,0,rejected,assert_connectivity,60.000000,1,5.400000,2.244994,1.000000,11.000000,6.520000,3.232584,45.160000,9.014122,0,0,70.479147
6,6,0,rejected,assert_connectivity,60.000000,1,6.440000,3.131517,1.000000,13.000000,7.360000,4.385248,40.000000,12.000000,0,0,60.352771
4,4,0,rejected,assert_connectivity,60.000000,1,6.320000,2.587972,0.000000,11.000000,7.560000,3.430219,43.280000,10.766689,0,0,69.564370
10,10,0,rejected,assert_connectivity,60.000000,1,5.640000,2.496077,0.000000,10.000000,7.560000,3.516589,47.040000,6.720000,0,0,73.541554
11,11,0,rejected,assert_connectivity,60.000000,1,7.200000,3.826225,1.000000,16.000000,9.160000,5.703893,40.000000,12.000000,0,0,63.169865
13,13,0,rejected,too_close,60.000000,1,5.920000,2.373521,1.000000,10.000000,8.720000,4.400182,49.000000,0.000000,50,1,74.163121
14,14,0,rejected,assert_connectivity,60.000000,1,4.840000,2.138785,0.000000,9.000000,5.360000,3.284874,41.520000,11.803796,0,0,69.274817
15,15,0,rejected,assert_connectivity,60.000000,1,5.320000,1.815930,1.000000,9.000000,6.960000,3.841666,41.640000,11.394314,0,0,64.005092
16,16,0,rejected,too_close,60.000000,1,5.640000,2.567177,1.000000,12.000000,7.240000,3.530212,49.000000,0.000000,50,0,67.852884
17,17,0,rejected,assert_connectivity,60.000000,1,5.920000,2.711752,0.000000,10.000000,6.880000,3.575696,47.040000,6.720000,0,0,60.415488
19,19,0,rejected,assert_connectivity,60.000000,1,5.680000,2.730861,1.000000,12.000000,5.960000,4.093702,30.640000,13.860390,0,0,76.141612
20,20,0,rejected,assert_connectivity,60.000000,1,5.440000,2.325167,1.000000,10.000000,6.880000,3.203998,45.160000,9.014122,0,0,67.777051
21,21,0,rejected,assert_connectivity,60.000000,1,6.600000,2.877499,0.000000,12.000000,8.960000,4.560526,47.040000,6.720000,0,1,72.293897
22,22,0,rejected,assert_connectivity,60.000000,1,5.280000,1.732513,2.000000,9.000000,5.120000,3.845205,36.960000,12.491533,0,0,59.870205
9,9,0,accepted,none,0.000000,1,5.680000,2.130164,2.000000,9.000000,6.160000,2.802570,49.000000,0.000000,50,0,59.408642
8,8,0,accepted,none,0.000000,1,5.400000,1.907878,2.000000,9.000000,5.880000,2.294690,49.000000,0.000000,50,0,62.675655
23,23,0,rejected,assert_connectivity,60.000000,1,6.400000,3.655133,0.000000,13.000000,7.800000,4.857983,47.040000,6.720000,0,0,80.551743
2,2,0,accepted,none,0.000000,1,5.920000,2.207623,1.000000,10.000000,8.520000,3.971096,49.000000,0.000000,50,0,70.998375
25,25,0,rejected,assert_connectivity,60.000000,1,6.360000,3.333227,0.000000,13.000000,10.080000,4.824272,45.120000,9.210081,0,0,72.417177
26,26,0,rejected,assert_connectivity,60.000000,1,5.600000,2.323790,0.000000,12.000000,7.920000,4.288776,47.040000,6.720000,0,1,65.489310
27,27,0,rejected,assert_connectivity,60.000000,1,7.520000,2.765791,0.000000,12.000000,8.800000,4.911212,47.040000,6.720000,0,0,56.153673
12,12,0,accepted,none,0.000000,1,5.640000,2.755068,1.000000,11.000000,7.520000,3.232584,49.000000,0.000000,50,0,82.711918
7,7,0,accepted,none,0.000000,1,7.760000,3.355950,1.000000,14.000000,9.600000,4.237924,49.000000,0.000000,50,0,61.335085
29,29,0,rejected,assert_connectivity,60.000000,1,6.400000,3.826225,0.000000,14.000000,7.560000,4.181674,41.520000,11.803796,0,0,62.742349
30,30,0,rejected,assert_connectivity,60.000000,1,7.000000,4.147288,0.000000,14.000000,7.800000,3.908964,47.040000,6.720000,0,0,63.616309
32,32,0,rejected,assert_connectivity,60.000000,1,6.040000,2.576509,0.000000,11.000000,8.400000,3.382307,47.040000,6.720000,0,1,66.097699
