run_id,scenario,window_start,window_end,window_duration_s,TcPacketRate,MidPacketRate,HnaPacketRate,TcBytesPerSecond,MidBytesPerSecond,HnaBytesPerSecond,DataPacketRate,DataBytesPerSecond,PerNodeTcRateStd,PerNodeTcBytesStd,PerNodeTcBytesGini,TcMessageSizeMean,TcMessageSizeStd,TcMessageSizeP95,TcMessageSizeMax,AdvertisedLinksPerTcMean,AdvertisedLinksPerTcStd,AdvertisedLinksPerTcP95,AdvertisedLinksPerTcMax,TcAnsnIncrementMean,TcAnsnSkipCount,NumDistinctTcSenderNodesPerWindow,TcMessageContentEntropy,TcVtimeMean,TcVtimeStd,NumDistinctAddressesInTcAdvertisements,NumDistinctTcSenderAddresses,NumPhantomAddresses,NumAsymmetricAdvertisements,NumEphemeralAddresses,MprSelectorCountPerTcMean,MprSelectorCountPerTcStd,NumberOfMprChurnEvents,NumDistinctMprSetsObserved,ObservedHopCountMean,ObservedHopCountStd,ObservedHopCountMax,NumPathChangesPerFlow,NumDistinctNextHopsPerSource,RtsRateLocal,CtsRateLocal,AckRateLocal,Layer2RetransmissionRate,ChannelBusyTimeFraction,AckDelayMean,AckDelayStd,InterFrameSpacingMean,PacketsDeliveredCount,PacketsSentCount,EndToEndLatencyMean,EndToEndLatencyStd,JitterMean,ThroughputBitsPerSecond,TcInterArrivalMean,TcInterArrivalStd,TcInterArrivalP95,TcBurstinessHurst,ControlMessageInterArrivalSkew,ControlMessageInterArrivalKurtosis,TcSenderAddressEntropy,TcAdvertisedAddressEntropy,PacketSizeDistributionSkew,PacketSizeDistributionKurtosis,TcPayloadByteDistributionEntropy,AdvertisedAverageDegree,AdvertisedDegreeStd,AdvertisedDegreeSkew,AdvertisedDegreeKurtosis,NumberOfDegreeOneNodes,AdvertisedClusteringCoefficient,NumberOfTrianglesInAdvertisedGraph,AdvertisedConnectivityComponents,AdvertisedDiameter,AdvertisedRadius,AdvertisedGraphDensity,BetweennessCentralityMean,BetweennessCentralityStd,BetweennessCentralityMax,ClosenessCentralityMean,ClosenessCentralityStd,EdgePersistenceMean,EdgeEmergenceWithinWindowRate,EdgeChurnWithinWindowRate,NumberOfHexagonalCycles,NumberOfShortCycles,AdvertisedSpectralRadius
9,baseline,120.000000,160.000000,40.000000,98.325000,0.000000,0.000000,3379.500000,0.000000,0.000000,0.450000,243.000000,0.144174,35.388337,0.150162,34.370709,9.073975,48.000000,52.000000,4.592677,2.268494,8.000000,9.000000,0.000512,1,25,4.642882,15.000000,0.000000,50,25,24,63,0,4.592677,2.268494,0,25,6.000000,0.000000,6.000000,0.000000,1.000000,2.850000,2.850000,2.850000,0.000000,0.012190,0.000714,0.000000,0.036811,18,18,0.027024,0.011264,0.003015,1944.000000,0.233764,0.734507,0.337104,0.249266,23.341586,552.991492,4.642882,5.548548,13.273365,186.740402,5.548548,3.560000,2.192350,1.046722,0.015891,5,0.407984,30,1,9,5,0.072653,80.620000,117.130985,462.500216,0.239103,0.038646,36.566073,0.000000,0.000000,144,182,5.044430
9,attack_only,220.000000,260.000000,40.000000,96.475000,0.000000,0.000000,3364.300000,0.000000,0.000000,0.450000,243.000000,0.206746,37.733047,0.159063,34.872247,10.154393,52.000000,56.000000,4.718062,2.538598,9.000000,10.000000,0.365154,7,25,4.641731,15.000000,0.000000,50,25,24,69,0,4.718062,2.538598,0,25,0.000000,0.000000,0.000000,0.000000,0.000000,1.850000,1.800000,1.800000,0.000000,0.003020,0.000621,0.000000,0.042520,0,18,0.000000,0.000000,0.000000,0.000000,0.238522,0.739886,0.394570,0.277288,23.032697,555.422886,4.641731,5.529455,12.852001,177.600264,5.529455,3.760000,2.412965,1.016848,-0.102714,5,0.426619,38,1,8,4,0.076735,69.500000,117.576439,632.591040,0.269345,0.050044,36.772607,0.000000,0.000000,231,266,5.433792
9,defense_only,320.000000,360.000000,40.000000,100.325000,0.000000,0.000000,3442.800000,0.000000,0.000000,0.450000,243.000000,0.691985,42.499635,0.178231,34.316471,9.160774,48.000000,52.000000,4.579118,2.290194,8.000000,9.000000,0.002007,2,26,4.707308,15.000000,0.000000,50,26,23,60,0,4.579118,2.290194,5,29,6.000000,0.000000,6.000000,0.000000,1.000000,2.750000,2.700000,2.700000,0.000000,0.008769,0.000621,0.000000,0.037272,18,18,0.020349,0.007025,0.002025,1944.000000,0.228839,0.744141,0.355198,0.275844,23.680202,574.064600,4.665504,5.555839,13.356398,189.608347,5.555839,3.600000,2.218107,1.005032,-0.109855,5,0.417222,32,1,9,5,0.073469,80.600000,117.329609,462.200216,0.239171,0.038735,36.013598,0.000000,0.025000,159,199,5.048191
9,defense_vs_attack,420.000000,460.000000,40.000000,98.525000,0.000000,0.000000,3465.700000,0.000000,0.000000,0.450000,243.000000,0.185456,36.247334,0.150021,35.175844,9.886377,52.000000,56.000000,4.793961,2.471594,9.000000,10.000000,0.360572,9,25,4.852569,15.000000,0.000000,50,25,24,72,0,4.793961,2.471594,9,34,0.000000,0.000000,0.000000,0.000000,0.000000,10.650000,10.475000,10.300000,0.006903,0.030767,0.000701,0.000141,0.016807,0,18,0.000000,0.000000,0.000000,0.000000,0.234211,0.734304,0.432609,0.273619,23.172236,567.726652,4.642250,5.523807,13.035147,182.370071,5.523807,4.000000,2.553429,0.886574,-0.243969,5,0.454027,55,1,8,4,0.081633,68.880000,118.110458,639.819544,0.271559,0.051585,34.769353,0.150000,0.025000,550,497,6.077294
8,baseline,120.000000,160.000000,40.000000,115.400000,0.000000,0.000000,3748.600000,0.000000,0.000000,0.450000,243.000000,0.134109,33.241854,0.133527,32.483536,8.148225,48.000000,52.000000,4.120884,2.037056,8.000000,9.000000,0.000436,1,27,4.754185,15.000000,0.000000,50,27,23,56,0,4.120884,2.037056,0,27,5.000000,0.000000,5.000000,0.000000,1.000000,2.450000,2.400000,2.375000,0.001316,0.010255,0.000714,0.000000,0.036080,18,18,0.022816,0.011889,0.003651,1944.000000,0.215259,0.668217,0.349826,0.255907,25.789808,696.546715,4.754185,5.592183,14.480296,221.654751,5.592183,3.360000,1.852134,1.052719,0.498089,3,0.225095,17,1,9,7,0.068571,86.300000,88.528782,316.800195,0.223006,0.020485,36.594375,0.000000,0.000000,32,88,4.247691
8,attack_only,220.000000,260.000000,40.000000,111.050000,0.000000,0.000000,3712.100000,0.000000,0.000000,0.450000,243.000000,0.133498,37.824703,0.147359,33.427285,9.218629,52.000000,56.000000,4.356821,2.304657,9.000000,10.000000,0.317029,7,26,4.699741,15.000000,0.000000,50,26,24,58,0,4.356821,2.304657,0,26,5.000000,0.000000,5.000000,0.000000,1.000000,2.275000,2.250000,2.250000,0.000000,0.003728,0.000621,0.000000,0.036917,18,18,0.008857,0.002194,0.000694,1944.000000,0.215012,0.650878,0.337230,0.255316,24.722227,624.995968,4.699741,5.555218,13.899560,206.933308,5.555218,3.440000,2.201454,1.199495,0.867966,6,0.235333,22,1,9,7,0.070204,80.520000,90.902610,305.898764,0.236145,0.025953,36.546446,0.000000,0.000000,83,128,4.928425
8,defense_only,320.000000,360.000000,40.000000,115.875000,0.000000,0.000000,3763.700000,0.000000,0.000000,0.450000,243.000000,0.141585,33.430198,0.133698,32.480690,8.156414,48.000000,52.000000,4.120173,2.039103,8.000000,9.000000,0.000000,0,27,4.754109,15.000000,0.000000,50,27,23,56,0,4.120173,2.039103,0,27,5.000000,0.000000,5.000000,0.000000,1.000000,2.250000,2.250000,2.250000,0.000000,0.009020,0.000621,0.000000,0.035859,18,18,0.018484,0.007051,0.002204,1944.000000,0.213909,0.653919,0.347044,0.249637,25.348219,669.582877,4.754109,5.592962,14.502081,222.411716,5.592962,3.360000,1.852134,1.052719,0.498089,3,0.225095,17,1,9,7,0.068571,86.300000,88.528782,316.800195,0.223006,0.020485,36.574086,0.000000,0.000000,32,88,4.247691
8,defense_vs_attack,420.000000,460.000000,40.000000,111.275000,0.000000,0.000000,3722.100000,0.000000,0.000000,0.450000,243.000000,0.131562,38.338494,0.148519,33.449562,9.229000,52.000000,56.000000,4.362390,2.307250,9.000000,10.000000,0.316384,7,26,4.699763,15.000000,0.000000,50,26,24,58,0,4.362390,2.307250,0,26,5.000000,0.000000,5.000000,0.000000,1.000000,2.275000,2.275000,2.250000,0.001276,0.004926,0.000621,0.000000,0.036877,18,18,0.010459,0.003011,0.000454,1944.000000,0.216117,0.656515,0.367443,0.268108,25.464078,682.213319,4.699763,5.555370,13.906935,207.221367,5.555370,3.440000,2.201454,1.199495,0.867966,6,0.235333,22,1,9,7,0.070204,80.520000,90.902610,305.898764,0.236145,0.025953,36.877786,0.000000,0.000000,83,128,4.928425
2,baseline,120.000000,160.000000,40.000000,136.600000,0.000000,0.000000,4546.900000,0.000000,0.000000,0.450000,243.000000,0.260033,30.527368,0.120955,33.286237,7.303105,48.000000,48.000000,4.321559,1.825776,8.000000,8.000000,0.000000,0,32,4.997319,15.000000,0.000000,50,32,18,65,0,4.321559,1.825776,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.375000,2.375000,2.375000,0.000000,0.010158,0.000715,0.000000,0.035438,18,18,0.022853,0.012238,0.003333,1944.000000,0.212708,0.785028,0.300953,0.220290,27.556693,769.863104,4.997319,5.532812,15.836428,264.632116,5.532812,4.080000,1.988366,0.271030,-0.972846,5,0.252714,34,1,8,4,0.083265,61.120000,66.139661,254.900085,0.295221,0.051289,36.153744,0.000000,0.000000,379,282,5.473046
2,attack_only,220.000000,260.000000,40.000000,135.025000,0.000000,0.000000,4537.200000,0.000000,0.000000,0.450000,243.000000,0.218994,36.509414,0.132959,33.602666,9.146014,48.000000,68.000000,4.400667,2.286503,8.000000,13.000000,0.260756,7,32,4.998097,15.000000,0.000000,50,32,18,70,0,4.400667,2.286503,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.250000,2.250000,2.250000,0.000000,0.003711,0.000622,0.000000,0.037527,18,18,0.008838,0.002188,0.000652,1944.000000,0.215267,0.761474,0.317470,0.213635,27.361821,758.289406,4.998097,5.535939,15.028812,245.011295,5.535939,4.240000,2.267686,1.080805,2.425747,5,0.270055,41,1,8,4,0.086531,58.180000,72.032904,381.598755,0.306776,0.056014,36.175531,0.000000,0.000000,508,347,5.908667
2,defense_only,320.000000,360.000000,40.000000,138.775000,0.000000,0.000000,4622.900000,0.000000,0.000000,0.450000,243.000000,0.267364,31.343446,0.123224,33.312196,7.306181,48.000000,48.000000,4.328049,1.826545,8.000000,8.000000,0.000362,1,32,4.997262,15.000000,0.000000,50,32,18,65,0,4.328049,1.826545,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.350000,2.250000,2.250000,0.000000,0.009181,0.000622,0.000000,0.036396,18,18,0.018621,0.007598,0.002494,1944.000000,0.209028,0.765198,0.277523,0.211172,27.862567,786.595740,4.997262,5.530308,15.938965,268.363782,5.530308,4.080000,1.988366,0.271030,-0.972846,5,0.252714,34,1,8,4,0.083265,61.120000,66.139661,254.900085,0.295221,0.051289,36.088361,0.000000,0.000000,379,282,5.473046
2,defense_vs_attack,420.000000,460.000000,40.000000,134.250000,0.000000,0.000000,4502.900000,0.000000,0.000000,0.450000,243.000000,0.253910,35.527693,0.129387,33.541155,9.133129,48.000000,68.000000,4.385289,2.283282,8.000000,13.000000,0.262271,7,32,4.997371,15.000000,0.000000,50,32,18,70,0,4.385289,2.283282,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.275000,2.275000,2.250000,0.001383,0.004738,0.000621,0.000000,0.037987,18,18,0.010642,0.002925,0.000713,1944.000000,0.215550,0.774227,0.297425,0.214222,27.394834,757.291256,4.997371,5.538501,15.003134,243.969760,5.538501,4.240000,2.267686,1.080805,2.425747,5,0.270055,41,1,8,4,0.086531,58.180000,72.032904,381.598755,0.306776,0.056014,35.986302,0.000000,0.000000,508,347,5.908667
12,baseline,120.000000,160.000000,40.000000,155.575000,0.000000,0.000000,4841.300000,0.000000,0.000000,0.450000,243.000000,0.205216,42.367707,0.163911,31.118753,9.348496,52.000000,52.000000,3.779688,2.337124,9.000000,9.000000,0.000485,1,34,5.029488,15.000000,0.000000,50,34,16,59,0,3.779688,2.337124,0,34,3.000000,0.000000,3.000000,0.000000,1.000000,1.425000,1.425000,1.425000,0.000000,0.006095,0.000715,0.000000,0.038591,18,18,0.011274,0.005026,0.001296,1944.000000,0.199461,0.689186,0.321553,0.254797,29.264542,875.867536,5.086005,5.533939,15.715552,273.310041,5.533939,3.760000,2.112439,1.016995,0.588495,5,0.251492,29,1,10,5,0.076735,76.300000,102.263150,453.242419,0.251637,0.046630,36.414201,0.000000,0.000000,292,239,5.436158
12,attack_only,220.000000,260.000000,40.000000,142.875000,0.000000,0.000000,4452.800000,0.000000,0.000000,0.450000,243.000000,0.243471,45.871854,0.188414,31.165704,10.791057,52.000000,60.000000,3.791426,2.697764,9.000000,11.000000,0.247844,11,34,5.024143,15.000000,0.000000,50,34,16,63,0,3.791426,2.697764,0,34,3.000000,0.000000,3.000000,0.000000,1.000000,1.350000,1.350000,1.350000,0.000000,0.002227,0.000622,0.000000,0.038778,18,18,0.004736,0.001116,0.000227,1944.000000,0.219065,0.689734,0.379746,0.256087,27.332945,790.138179,5.085030,5.533230,14.555494,239.198466,5.533230,3.840000,2.361017,1.267342,1.141677,5,0.307416,33,1,9,5,0.078367,64.620000,109.682954,638.016667,0.285288,0.053983,36.627936,0.000000,0.000000,333,255,5.612845
12,defense_only,320.000000,360.000000,40.000000,153.625000,0.000000,0.000000,4781.300000,0.000000,0.000000,0.450000,243.000000,0.185634,41.718682,0.163247,31.123190,9.336628,52.000000,52.000000,3.780797,2.334157,9.000000,9.000000,0.000000,0,34,5.029372,15.000000,0.000000,50,34,16,59,0,3.780797,2.334157,0,34,3.000000,0.000000,3.000000,0.000000,1.000000,1.375000,1.350000,1.350000,0.000000,0.005439,0.000622,0.000000,0.040207,18,18,0.009864,0.003490,0.001354,1944.000000,0.202691,0.681766,0.387826,0.268695,28.877144,860.074697,5.086243,5.533339,15.652500,270.694802,5.533339,3.760000,2.112439,1.016995,0.588495,5,0.251492,29,1,10,5,0.076735,76.300000,102.263150,453.242419,0.251637,0.046630,36.416644,0.000000,0.000000,292,239,5.436158
12,defense_vs_attack,420.000000,460.000000,40.000000,141.150000,0.000000,0.000000,4412.300000,0.000000,0.000000,0.450000,243.000000,0.268776,46.712111,0.193527,31.259653,10.806065,52.000000,60.000000,3.814913,2.701516,9.000000,11.000000,0.249465,7,34,5.027755,15.000000,0.000000,50,34,16,63,0,3.814913,2.701516,0,34,3.000000,0.000000,3.000000,0.000000,1.000000,1.350000,1.350000,1.350000,0.000000,0.002806,0.000622,0.000000,0.039874,18,18,0.005594,0.001505,0.000227,1944.000000,0.224449,0.691950,0.441593,0.294943,26.413634,758.925304,5.084431,5.537398,14.490749,236.800608,5.537398,3.840000,2.361017,1.267342,1.141677,5,0.307416,33,1,9,5,0.078367,64.620000,109.682954,638.016667,0.285288,0.053983,36.931011,0.000000,0.000000,333,255,5.612845
7,baseline,120.000000,160.000000,40.000000,96.525000,0.000000,0.000000,3377.200000,0.000000,0.000000,0.450000,243.000000,0.271104,42.699855,0.192657,34.987827,11.533859,52.000000,60.000000,4.746957,2.883465,9.000000,11.000000,0.000000,0,28,4.802852,15.000000,0.000000,50,28,21,72,0,4.746957,2.883465,0,28,6.000000,0.000000,6.000000,0.000000,1.000000,2.900000,2.850000,2.850000,0.000000,0.012247,0.000714,0.000000,0.038327,18,18,0.027527,0.013739,0.003832,1944.000000,0.263610,0.835893,3.033433,0.228391,23.293546,551.857943,4.802852,5.487232,12.423096,169.553751,5.487232,4.080000,2.636968,0.953873,0.343276,9,0.244603,38,1,8,4,0.083265,62.100000,84.595584,362.891763,0.294084,0.055481,36.058526,0.000000,0.000000,501,354,5.799853
