run_id,scenario,window_start,window_end,window_duration_s,TcPacketRate,MidPacketRate,HnaPacketRate,TcBytesPerSecond,MidBytesPerSecond,HnaBytesPerSecond,DataPacketRate,DataBytesPerSecond,PerNodeTcRateStd,PerNodeTcBytesStd,PerNodeTcBytesGini,TcMessageSizeMean,TcMessageSizeStd,TcMessageSizeP95,TcMessageSizeMax,AdvertisedLinksPerTcMean,AdvertisedLinksPerTcStd,AdvertisedLinksPerTcP95,AdvertisedLinksPerTcMax,TcAnsnIncrementMean,TcAnsnSkipCount,NumDistinctTcSenderNodesPerWindow,TcMessageContentEntropy,TcVtimeMean,TcVtimeStd,NumDistinctAddressesInTcAdvertisements,NumDistinctTcSenderAddresses,NumPhantomAddresses,NumAsymmetricAdvertisements,NumEphemeralAddresses,MprSelectorCountPerTcMean,MprSelectorCountPerTcStd,NumberOfMprChurnEvents,NumDistinctMprSetsObserved,ObservedHopCountMean,ObservedHopCountStd,ObservedHopCountMax,NumPathChangesPerFlow,NumDistinctNextHopsPerSource,RtsRateLocal,CtsRateLocal,AckRateLocal,Layer2RetransmissionRate,ChannelBusyTimeFraction,AckDelayMean,AckDelayStd,InterFrameSpacingMean,PacketsDeliveredCount,PacketsSentCount,EndToEndLatencyMean,EndToEndLatencyStd,JitterMean,ThroughputBitsPerSecond,TcInterArrivalMean,TcInterArrivalStd,TcInterArrivalP95,TcBurstinessHurst,ControlMessageInterArrivalSkew,ControlMessageInterArrivalKurtosis,TcSenderAddressEntropy,TcAdvertisedAddressEntropy,PacketSizeDistributionSkew,PacketSizeDistributionKurtosis,TcPayloadByteDistributionEntropy,AdvertisedAverageDegree,AdvertisedDegreeStd,AdvertisedDegreeSkew,AdvertisedDegreeKurtosis,NumberOfDegreeOneNodes,AdvertisedClusteringCoefficient,NumberOfTrianglesInAdvertisedGraph,AdvertisedConnectivityComponents,AdvertisedDiameter,AdvertisedRadius,AdvertisedGraphDensity,BetweennessCentralityMean,BetweennessCentralityStd,BetweennessCentralityMax,ClosenessCentralityMean,ClosenessCentralityStd,EdgePersistenceMean,EdgeEmergenceWithinWindowRate,EdgeChurnWithinWindowRate,NumberOfHexagonalCycles,NumberOfShortCycles,AdvertisedSpectralRadius
2,baseline,120.000000,160.000000,40.000000,136.600000,0.000000,0.000000,4546.900000,0.000000,0.000000,0.450000,243.000000,0.260033,30.527368,0.120955,33.286237,7.303105,48.000000,48.000000,4.321559,1.825776,8.000000,8.000000,0.000000,0,32,4.997319,15.000000,0.000000,50,32,18,65,0,4.321559,1.825776,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.375000,2.375000,2.375000,0.000000,0.010158,0.000715,0.000000,0.035438,18,18,0.022853,0.012238,0.003333,1944.000000,0.212708,0.785028,0.300953,0.220290,27.556693,769.863104,4.997319,5.532812,15.836428,264.632116,5.532812,4.080000,1.988366,0.271030,-0.972846,5,0.252714,34,1,8,4,0.083265,61.120000,66.139661,254.900085,0.295221,0.051289,36.153744,0.000000,0.000000,379,282,5.473046
2,attack_only,220.000000,260.000000,40.000000,135.025000,0.000000,0.000000,4537.200000,0.000000,0.000000,0.450000,243.000000,0.218994,36.509414,0.132959,33.602666,9.146014,48.000000,68.000000,4.400667,2.286503,8.000000,13.000000,0.260756,7,32,4.998097,15.000000,0.000000,50,32,18,70,0,4.400667,2.286503,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.250000,2.250000,2.250000,0.000000,0.003711,0.000622,0.000000,0.037527,18,18,0.008838,0.002188,0.000652,1944.000000,0.215267,0.761474,0.317470,0.213635,27.361821,758.289406,4.998097,5.535939,15.028812,245.011295,5.535939,4.240000,2.267686,1.080805,2.425747,5,0.270055,41,1,8,4,0.086531,58.180000,72.032904,381.598755,0.306776,0.056014,36.175531,0.000000,0.000000,508,347,5.908667
2,defense_only,320.000000,360.000000,40.000000,138.775000,0.000000,0.000000,4622.900000,0.000000,0.000000,0.450000,243.000000,0.267364,31.343446,0.123224,33.312196,7.306181,48.000000,48.000000,4.328049,1.826545,8.000000,8.000000,0.000362,1,32,4.997262,15.000000,0.000000,50,32,18,65,0,4.328049,1.826545,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.350000,2.250000,2.250000,0.000000,0.009181,0.000622,0.000000,0.036396,18,18,0.018621,0.007598,0.002494,1944.000000,0.209028,0.765198,0.277523,0.211172,27.862567,786.595740,4.997262,5.530308,15.938965,268.363782,5.530308,4.080000,1.988366,0.271030,-0.972846,5,0.252714,34,1,8,4,0.083265,61.120000,66.139661,254.900085,0.295221,0.051289,36.088361,0.000000,0.000000,379,282,5.473046
2,defense_vs_attack,420.000000,460.000000,40.000000,134.250000,0.000000,0.000000,4502.900000,0.000000,0.000000,0.450000,243.000000,0.253910,35.527693,0.129387,33.541155,9.133129,48.000000,68.000000,4.385289,2.283282,8.000000,13.000000,0.262271,7,32,4.997371,15.000000,0.000000,50,32,18,70,0,4.385289,2.283282,0,32,5.000000,0.000000,5.000000,0.000000,1.000000,2.275000,2.275000,2.250000,0.001383,0.004738,0.000621,0.000000,0.037987,18,18,0.010642,0.002925,0.000713,1944.000000,0.215550,0.774227,0.297425,0.214222,27.394834,757.291256,4.997371,5.538501,15.003134,243.969760,5.538501,4.240000,2.267686,1.080805,2.425747,5,0.270055,41,1,8,4,0.086531,58.180000,72.032904,381.598755,0.306776,0.056014,35.986302,0.000000,0.000000,508,347,5.908667
7,baseline,120.000000,160.000000,40.000000,96.525000,0.000000,0.000000,3377.200000,0.000000,0.000000,0.450000,243.000000,0.271104,42.699855,0.192657,34.987827,11.533859,52.000000,60.000000,4.746957,2.883465,9.000000,11.000000,0.000000,0,28,4.802852,15.000000,0.000000,50,28,21,72,0,4.746957,2.883465,0,28,6.000000,0.000000,6.000000,0.000000,1.000000,2.900000,2.850000,2.850000,0.000000,0.012247,0.000714,0.000000,0.038327,18,18,0.027527,0.013739,0.003832,1944.000000,0.263610,0.835893,3.033433,0.228391,23.293546,551.857943,4.802852,5.487232,12.423096,169.553751,5.487232,4.080000,2.636968,0.953873,0.343276,9,0.244603,38,1,8,4,0.083265,62.100000,84.595584,362.891763,0.294084,0.055481,36.058526,0.000000,0.000000,501,354,5.799853
7,attack_only,220.000000,260.000000,40.000000,93.775000,0.000000,0.000000,3314.700000,0.000000,0.000000,0.450000,243.000000,0.253677,48.440398,0.218157,35.347374,13.440136,60.000000,68.000000,4.836844,3.360034,11.000000,13.000000,0.376041,7,28,4.803275,15.000000,0.000000,50,28,21,76,0,4.836844,3.360034,0,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.950000,0.950000,0.950000,0.000000,0.004063,0.000715,0.000000,0.056701,0,18,0.000000,0.000000,0.000000,0.000000,0.270996,0.857439,3.240724,0.221627,22.907875,533.156981,4.803275,5.502842,11.683870,154.259175,5.502842,4.200000,2.891366,1.225228,0.924750,8,0.306657,45,1,8,4,0.085714,55.600000,93.582113,482.550794,0.317117,0.058067,36.091943,0.000000,0.000000,629,414,6.127798
7,defense_only,320.000000,360.000000,40.000000,94.900000,0.000000,0.000000,3323.500000,0.000000,0.000000,0.450000,243.000000,0.256037,42.260810,0.194966,35.021075,11.541220,52.000000,60.000000,4.755269,2.885305,9.000000,11.000000,0.000531,1,28,4.803229,15.000000,0.000000,50,28,21,72,0,4.755269,2.885305,0,28,6.000000,0.000000,6.000000,0.000000,1.000000,2.775000,2.700000,2.700000,0.000000,0.004530,0.000621,0.000000,0.037404,18,18,0.010918,0.002998,0.000929,1944.000000,0.270000,0.841723,2.886015,0.217483,22.504763,522.418142,4.803229,5.490058,12.345326,167.163345,5.490058,4.080000,2.636968,0.953873,0.343276,9,0.244603,38,1,8,4,0.083265,62.100000,84.595584,362.891763,0.294084,0.055481,36.426287,0.000000,0.000000,501,354,5.799853
7,defense_vs_attack,420.000000,460.000000,40.000000,97.125000,0.000000,0.000000,3413.200000,0.000000,0.000000,0.450000,243.000000,0.356678,47.124827,0.217810,35.142342,13.104611,60.000000,68.000000,4.785586,3.276153,11.000000,13.000000,0.367220,10,29,5.090991,15.000000,0.000000,50,29,20,77,0,4.785586,3.276153,11,40,6.000000,0.000000,6.000000,0.000000,1.000000,1.600000,1.600000,1.600000,0.000000,0.005216,0.000637,0.000035,0.046458,5,18,0.025806,0.003632,0.004362,540.000000,0.268628,0.863296,3.191798,0.264437,23.415533,566.861386,4.849421,5.501906,11.929350,160.589973,5.501906,4.440000,3.001066,1.140501,0.933740,8,0.314592,55,1,8,4,0.090612,55.260000,91.156654,440.143768,0.318897,0.059469,34.610238,0.150000,0.025000,1125,626,6.580135
8,baseline,120.000000,160.000000,40.000000,115.400000,0.000000,0.000000,3748.600000,0.000000,0.000000,0.450000,243.000000,0.134109,33.241854,0.133527,32.483536,8.148225,48.000000,52.000000,4.120884,2.037056,8.000000,9.000000,0.000436,1,27,4.754185,15.000000,0.000000,50,27,23,56,0,4.120884,2.037056,0,27,5.000000,0.000000,5.000000,0.000000,1.000000,2.450000,2.400000,2.375000,0.001316,0.010255,0.000714,0.000000,0.036080,18,18,0.022816,0.011889,0.003651,1944.000000,0.215259,0.668217,0.349826,0.255907,25.789808,696.546715,4.754185,5.592183,14.480296,221.654751,5.592183,3.360000,1.852134,1.052719,0.498089,3,0.225095,17,1,9,7,0.068571,86.300000,88.528782,316.800195,0.223006,0.020485,36.594375,0.000000,0.000000,32,88,4.247691
8,attack_only,220.000000,260.000000,40.000000,111.050000,0.000000,0.000000,3712.100000,0.000000,0.000000,0.450000,243.000000,0.133498,37.824703,0.147359,33.427285,9.218629,52.000000,56.000000,4.356821,2.304657,9.000000,10.000000,0.317029,7,26,4.699741,15.000000,0.000000,50,26,24,58,0,4.356821,2.304657,0,26,5.000000,0.000000,5.000000,0.000000,1.000000,2.275000,2.250000,2.250000,0.000000,0.003728,0.000621,0.000000,0.036917,18,18,0.008857,0.002194,0.000694,1944.000000,0.215012,0.650878,0.337230,0.255316,24.722227,624.995968,4.699741,5.555218,13.899560,206.933308,5.555218,3.440000,2.201454,1.199495,0.867966,6,0.235333,22,1,9,7,0.070204,80.520000,90.902610,305.898764,0.236145,0.025953,36.546446,0.000000,0.000000,83,128,4.928425
