seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
100000001,100000001,0,rejected,too_close,60.000000,1,6.240000,2.445895,1.000000,10.000000,7.120000,3.712896,49.000000,0.000000,50,0,62.962567
100000002,100000002,0,rejected,assert_connectivity,60.000000,1,6.120000,2.861049,0.000000,13.000000,8.760000,4.602434,47.040000,6.720000,0,0,77.431024
100000003,100000003,0,rejected,too_close,60.000000,1,6.440000,2.706732,2.000000,12.000000,9.800000,4.054627,49.000000,0.000000,50,0,68.773153
100000004,100000004,0,accepted,none,0.000000,1,5.680000,1.964077,1.000000,10.000000,7.200000,3.560899,49.000000,0.000000,50,0,67.451161
100000005,100000005,0,rejected,assert_connectivity,60.000000,1,6.160000,2.444259,0.000000,11.000000,6.600000,3.098387,47.040000,6.720000,0,1,61.102356
100000006,100000006,0,rejected,assert_connectivity,60.000000,1,7.280000,3.212725,0.000000,12.000000,10.560000,4.099561,47.040000,6.720000,0,0,71.990641
100000007,100000007,0,rejected,assert_connectivity,60.000000,1,6.040000,2.432776,1.000000,11.000000,6.560000,3.868643,38.440000,12.348538,0,0,58.107165
100000008,100000008,0,rejected,assert_connectivity,60.000000,1,6.080000,2.365079,0.000000,11.000000,7.400000,3.984972,47.040000,6.720000,0,0,67.222653
100000009,100000009,0,rejected,assert_connectivity,60.000000,1,6.680000,2.831537,0.000000,12.000000,7.880000,3.907122,47.040000,6.720000,0,0,62.195938
100000010,100000010,0,accepted,none,0.000000,1,6.920000,3.129473,1.000000,13.000000,9.160000,3.941370,49.000000,0.000000,50,0,57.663550
100000011,100000011,0,rejected,assert_connectivity,60.000000,1,5.520000,2.128286,0.000000,9.000000,7.040000,3.136622,45.120000,9.210081,0,0,66.353361
100000012,100000012,0,rejected,assert_connectivity,60.000000,1,5.360000,1.894835,0.000000,9.000000,6.160000,2.955402,47.040000,6.720000,0,0,73.366847
100000013,100000013,0,rejected,assert_connectivity,60.000000,1,6.400000,3.039737,0.000000,12.000000,7.680000,4.159038,47.040000,6.720000,0,0,58.118797
100000014,100000014,0,rejected,assert_connectivity,60.000000,1,7.000000,3.187475,0.000000,13.000000,8.000000,4.582576,43.280000,10.766689,0,0,64.961316
