Seed,Phase,Tx,Rx,PDR_pct,AvgDelayMs,ThroughputKbps,NodesDetectingAtk1,NodesDetectingAtk2,NodesDetectingAny,NodesDetectingBoth,NodesWithFalsePositives,TotalFalsePositives,Atk1FlaggedSomewhere,Atk2FlaggedSomewhere,BackupWronglyFlagged
1,baseline,3856,3847,99.77,20.79,415.48,0,0,0,0,0,0,0,0,0
1,attack_only,3900,390,10.00,9.60,42.12,0,0,0,0,0,0,0,0,0
1,defense_only,3876,3876,100.00,17.43,418.61,0,0,0,0,0,0,0,0,0
1,defense_vs_attack,3862,3866,100.10,19.10,417.53,6,6,8,4,0,0,1,1,0
1,baseline_late,3892,3892,100.00,17.10,420.34,0,0,0,0,0,0,0,0,0
10,baseline,3910,3908,99.95,19.22,422.06,0,0,0,0,0,0,0,0,0
10,attack_only,3883,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
10,defense_only,3910,3910,100.00,18.07,422.28,0,0,0,0,0,0,0,0,0
10,defense_vs_attack,2322,2321,99.96,11.59,250.67,4,8,8,4,4,4,1,1,1
10,baseline_late,3910,3128,80.00,13.78,337.82,0,0,0,0,0,0,0,0,0
2,baseline,3910,3127,79.97,15.26,337.72,0,0,0,0,0,0,0,0,0
2,attack_only,3880,2,0.05,23.47,0.22,0,0,0,0,0,0,0,0,0
2,defense_only,3872,3872,100.00,18.22,418.18,0,0,0,0,0,0,0,0,0
2,defense_vs_attack,3883,3886,100.08,19.21,419.69,10,10,10,10,0,0,1,1,0
2,baseline_late,3877,3877,100.00,18.46,418.72,0,0,0,0,0,0,0,0,0
3,baseline,3874,3871,99.92,18.83,418.07,0,0,0,0,0,0,0,0,0
3,attack_only,3900,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
3,defense_only,3910,3910,100.00,18.13,422.28,0,0,0,0,0,0,0,0,0
3,defense_vs_attack,3900,3902,100.05,19.34,421.42,9,4,10,3,0,0,1,1,0
3,baseline_late,3910,3910,100.00,17.45,422.28,0,0,0,0,0,0,0,0,0
4,baseline,3910,3128,80.00,15.24,337.82,0,0,0,0,0,0,0,0,0
4,attack_only,3900,3126,80.15,17.19,337.61,0,0,0,0,0,0,0,0,0
4,defense_only,3910,3910,100.00,17.95,422.28,0,0,0,0,0,0,0,0,0
4,defense_vs_attack,3900,3902,100.05,19.29,421.42,1,2,2,1,0,0,1,1,0
4,baseline_late,3892,3892,100.00,18.46,420.34,0,0,0,0,0,0,0,0,0
5,baseline,3894,3882,99.69,18.54,419.26,0,0,0,0,0,0,0,0,0
5,attack_only,3867,2345,60.64,14.85,253.26,0,0,0,0,0,0,0,0,0
5,defense_only,3852,3840,99.69,19.94,414.72,0,0,0,0,0,0,0,0,0
5,defense_vs_attack,3862,3864,100.05,19.38,417.31,3,4,4,3,0,0,1,1,0
5,baseline_late,3841,3841,100.00,17.17,414.83,0,0,0,0,0,0,0,0,0
6,baseline,3910,3908,99.95,18.08,422.06,0,0,0,0,0,0,0,0,0
6,attack_only,3900,780,20.00,10.92,84.24,0,0,0,0,0,0,0,0,0
6,defense_only,3895,3895,100.00,18.17,420.66,0,0,0,0,0,0,0,0,0
6,defense_vs_attack,3900,3903,100.08,19.36,421.52,7,7,7,7,0,0,1,1,0
6,baseline_late,3895,3895,100.00,18.12,420.66,0,0,0,0,0,0,0,0,0
7,baseline,3910,3908,99.95,17.54,422.06,0,0,0,0,0,0,0,0,0
7,attack_only,3900,390,10.00,9.48,42.12,0,0,0,0,0,0,0,0,0
7,defense_only,3857,3857,100.00,16.81,416.56,0,0,0,0,0,0,0,0,0
7,defense_vs_attack,3879,3882,100.08,19.13,419.26,6,4,6,4,0,0,1,1,0
7,baseline_late,3875,3875,100.00,17.23,418.50,0,0,0,0,0,0,0,0,0
8,baseline,3910,3902,99.80,19.38,421.42,0,0,0,0,0,0,0,0,0
8,attack_only,3882,390,10.05,9.79,42.12,0,0,0,0,0,0,0,0,0
8,defense_only,3893,3885,99.79,19.04,419.58,0,0,0,0,3,3,0,0,1
8,defense_vs_attack,2730,2730,100.00,13.40,294.84,3,4,4,3,3,3,1,1,1
8,baseline_late,3893,3893,100.00,17.91,420.44,0,0,0,0,0,0,0,0,0
9,baseline,3893,3890,99.92,18.60,420.12,0,0,0,0,0,0,0,0,0
9,attack_only,3883,2581,66.47,15.70,278.75,0,0,0,0,0,0,0,0,0
9,defense_only,3910,3910,100.00,17.21,422.28,0,0,0,0,0,0,0,0,0
9,defense_vs_attack,3880,3879,99.97,19.19,418.93,3,3,4,2,0,0,1,1,0
9,baseline_late,3892,3892,100.00,17.06,420.34,0,0,0,0,0,0,0,0,0
