seed_used,num_nodes,area_length,area_width,range,num_attackers,attackers,spoof_count,forward_timeout_s,periodic_interval_s,warmup_duration_s,blacklist_threshold,rts_to_data_ratio_thresh,self_drops_threshold,mac_failure_threshold,min_rts_for_heuristic,min_self_reliability,phase_idx,phase_name,attack_on,defense_on,tx_packets,rx_packets,rx_bytes,throughput_mbps,pdr_percent,avg_delay_s
1,50,1000,200,300,4,5|15|25|35,10,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3715,2006100,0.401220,99.0667,0.021728
1,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,2447,1321380,0.264276,65.2533,0.014095
1,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3598,3589,1938060,0.387612,99.7499,0.016315
1,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3750,3656,1974240,0.394848,97.4933,0.016648
10,50,1000,200,300,4,5|15|25|35,10,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3676,3574,1929960,0.385992,97.2252,0.027028
10,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3707,2001780,0.400356,98.8533,0.020629
10,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,2750,2733,1475820,0.295164,99.3818,0.015375
10,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3561,3218,1737720,0.347544,90.3679,0.060107
20,50,1000,200,300,4,5|15|25|35,10,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3634,1962360,0.392472,96.9067,0.029281
20,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3231,1744740,0.348948,86.1600,0.016434
20,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3742,3713,2005020,0.401004,99.2250,0.017565
20,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3289,2974,1605960,0.321192,90.4226,0.019401
30,50,1000,200,300,4,5|15|25|35,10,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3666,2936,1585440,0.317088,80.0873,0.029123
30,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3296,1779840,0.355968,87.8933,0.022229
30,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3318,3261,1760940,0.352188,98.2821,0.022624
30,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,2966,2893,1562220,0.312444,97.5388,0.019449
40,50,1000,200,300,4,5|15|25|35,10,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3663,3533,1907820,0.381564,96.4510,0.036965
40,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,2575,1390500,0.278100,68.6667,0.035350
40,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3654,3425,1849500,0.369900,93.7329,0.035137
40,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3484,3160,1706400,0.341280,90.7003,0.028961
50,50,1000,200,300,4,5|15|25|35,10,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3713,2005020,0.401004,99.0133,0.019346
50,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3644,1967760,0.393552,97.1733,0.015656
50,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3632,3498,1888920,0.377784,96.3106,0.021155
50,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,2578,2578,1392120,0.278424,100.0000,0.010359
100,50,1000,200,300,4,5|15|25|35,10,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3681,1987740,0.397548,98.1600,0.025972
100,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3556,1920240,0.384048,94.8267,0.021398
100,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3722,3668,1980720,0.396144,98.5492,0.020946
100,50,1000.000000,200.000000,300.000000,4,5|15|25|35,10,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3061,2901,1566540,0.313308,94.7730,0.020649
