seed_used,num_nodes,area_length,area_width,range,num_attackers,attackers,spoof_count,forward_timeout_s,periodic_interval_s,warmup_duration_s,blacklist_threshold,rts_to_data_ratio_thresh,self_drops_threshold,mac_failure_threshold,min_rts_for_heuristic,min_self_reliability,phase_idx,phase_name,attack_on,defense_on,tx_packets,rx_packets,rx_bytes,throughput_mbps,pdr_percent,avg_delay_s
1,50,1000,200,300,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3704,2000160,0.400032,98.7733,0.018284
1,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3742,2020680,0.404136,99.7867,0.012665
1,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3750,3749,2024460,0.404892,99.9733,0.012825
1,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3684,3653,1972620,0.394524,99.1585,0.010915
10,50,1000,200,300,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3720,3706,2001240,0.400248,99.6237,0.018585
10,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3192,1723680,0.344736,85.1200,0.017491
10,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3195,3007,1623780,0.324756,94.1158,0.021602
10,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,2783,2626,1418040,0.283608,94.3586,0.025605
20,50,1000,200,300,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3634,1962360,0.392472,96.9067,0.029281
20,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3605,1946700,0.389340,96.1333,0.023260
20,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3718,3644,1967760,0.393552,98.0097,0.022197
20,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,2500,2466,1331640,0.266328,98.6400,0.015790
30,50,1000,200,300,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3671,3409,1840860,0.368172,92.8630,0.044252
30,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3718,2646,1428840,0.285768,71.1673,0.027292
30,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3386,3252,1756080,0.351216,96.0425,0.036029
30,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3589,3278,1770120,0.354024,91.3346,0.033688
40,50,1000,200,300,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3591,3210,1733400,0.346680,89.3901,0.035565
40,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,2465,1331100,0.266220,65.7333,0.030380
40,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3449,3275,1768500,0.353700,94.9551,0.044558
40,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3671,3473,1875420,0.375084,94.6064,0.030861
50,50,1000,200,300,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3713,2005020,0.401004,99.0133,0.019346
50,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,2498,1348920,0.269784,66.6133,0.012313
50,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3722,3712,2004480,0.400896,99.7313,0.016169
50,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,2957,2752,1486080,0.297216,93.0673,0.018292
100,50,1000,200,300,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3505,3465,1871100,0.374220,98.8588,0.022371
100,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3303,1783620,0.356724,88.0800,0.014604
100,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3618,3594,1940760,0.388152,99.3367,0.020195
100,50,1000.000000,200.000000,300.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,3750,3667,1980180,0.396036,97.7867,0.021788
