seed_used,num_nodes,area,range,num_attackers,attackers,spoof_count,forward_timeout_s,periodic_interval_s,warmup_duration_s,blacklist_threshold,rts_to_data_ratio_thresh,self_drops_threshold,mac_failure_threshold,min_rts_for_heuristic,min_self_reliability,phase_idx,phase_name,attack_on,defense_on,tx_packets,rx_packets,rx_bytes,throughput_mbps,pdr_percent,avg_delay_s
1,50,1000,250,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3749,2024460,0.404892,99.9733,0.014216
1,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3707,2001780,0.400356,98.8533,0.016000
1,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,2135,1764,952560,0.190512,82.6230,0.024209
1,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,1250,1250,675000,0.135000,100.0000,0.009095
10,50,1000,250,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3749,2024460,0.404892,99.9733,0.008556
10,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3125,1687500,0.337500,83.3333,0.006558
10,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,2704,1991,1075140,0.215028,73.6317,0.071013
10,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,1250,1250,675000,0.135000,100.0000,0.002212
20,50,1000,250,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3749,2024460,0.404892,99.9733,0.013348
20,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3733,2015820,0.403164,99.5467,0.010068
20,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,2657,2046,1104840,0.220968,77.0041,0.026211
20,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,0,0,0,0.000000,0.0000,0.000000
31,50,1000,250,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3748,2023920,0.404784,99.9467,0.012014
31,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3396,1833840,0.366768,90.5600,0.014114
31,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3677,3520,1900800,0.380160,95.7302,0.026337
31,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,0,0,0,0.000000,0.0000,0.000000
40,50,1000,250,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3679,3552,1918080,0.383616,96.5480,0.026609
40,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3689,1992060,0.398412,98.3733,0.020506
40,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3749,2895,1563300,0.312660,77.2206,0.063198
40,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,1250,1250,675000,0.135000,100.0000,0.003597
50,50,1000,250,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,3747,2023380,0.404676,99.9200,0.010830
50,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3094,1670760,0.334152,82.5067,0.013773
50,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3490,2409,1300860,0.260172,69.0258,0.075068
50,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,370,0,0,0.000000,0.0000,0.000000
100,50,1000,250,2,7|23,5,0.5,1,15,10,3,5,3,5,0.3,1,"Baseline",0,0,3750,2500,1350000,0.270000,66.6667,0.003884
100,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,2,"Attack only",1,0,3750,3751,2025540,0.405108,100.0267,0.006928
100,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,3,"Defense only",0,1,3721,3461,1868940,0.373788,93.0126,0.015995
100,50,1000.000000,250.000000,2,7|23,5,0.500000,1.000000,15.000000,10,3.000000,5,3,5,0.300000,4,"Attack + Defense",1,1,1250,1250,675000,0.135000,100.0000,0.002682
