STATUS,attack_pdr,attack_rx,attacker_id,baseline_pdr,baseline_rx,both_pdr,both_rx,defense_pdr,defense_rx,elapsed_s,run,sent_per_window
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,21.11583161354065,4,18
OK,1.0,18,5,1.0,18,0.2222,4,1.0,18,21.93335223197937,7,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,21.085792541503906,11,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,27.295412302017212,17,18
OK,0.0,0,5,1.0,18,0.7222,13,1.0,18,27.102304458618164,21,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,21.858365297317505,23,18
OK,0.0,0,3,1.0,18,0.7222,13,1.0,18,24.89411425590515,25,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,24.247379541397095,27,18
OK,0.0,0,3,1.0,18,0.7222,13,1.0,18,26.720006227493286,30,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,38.39035773277283,31,18
OK,1.0,18,8,1.0,18,0.5556,10,1.0,18,32.58102631568909,32,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,31.454954624176025,33,18
OK,1.0,18,12,1.0,18,1.0,18,1.0,18,28.153594493865967,34,18
OK,0.0,0,34,1.0,18,1.0,18,1.0,18,27.458319902420044,37,18
OK,1.0,18,5,1.0,18,1.0,18,1.0,18,46.489657402038574,39,18
OK,1.0,18,18,1.0,18,0.8333,15,1.0,18,26.323418378829956,41,18
OK,1.0,18,15,1.0,18,1.0,18,1.0,18,33.238792181015015,42,18
OK,1.0,18,11,1.0,18,0.7222,13,1.0,18,36.24701809883118,44,18
OK,1.0,18,5,1.0,18,0.7222,13,1.0,18,31.913934469223022,46,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,31.26544976234436,48,18
OK,1.0,18,10,1.0,18,1.0,18,1.0,18,30.360113382339478,52,18
OK,0.0,0,6,1.0,18,0.7222,13,1.0,18,30.109544038772583,53,18
OK,1.0,18,5,1.0,18,1.0,18,1.0,18,27.112346172332764,55,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,27.857542514801025,60,18
OK,1.0,18,4,1.0,18,1.0,18,1.0,18,29.887704133987427,63,18
OK,1.0,18,3,1.0,18,0.7222,13,1.0,18,24.604947328567505,67,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,27.336600303649902,70,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,22.17561173439026,71,18
OK,1.0,18,17,1.0,18,1.0,18,1.0,18,22.0643949508667,72,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,25.090526580810547,73,18
