STATUS,attack_pdr,attack_rx,attacker_id,baseline_pdr,baseline_rx,both_pdr,both_rx,defense_pdr,defense_rx,elapsed_s,run,sent_per_window
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,22.83403468132019,4,18
OK,1.0,18,5,1.0,18,1.0,18,1.0,18,25.023024320602417,7,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,26.823923110961914,11,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,32.88906955718994,17,18
OK,0.0,0,5,1.0,18,0.0,0,1.0,18,32.66805911064148,21,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,24.135043382644653,23,18
OK,0.0,0,3,1.0,18,0.0,0,1.0,18,25.414188385009766,25,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,24.081597566604614,27,18
OK,0.0,0,3,1.0,18,0.0,0,1.0,18,26.68752932548523,30,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,27.032988786697388,31,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,24.384517431259155,32,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,25.581426858901978,33,18
OK,1.0,18,12,1.0,18,1.0,18,1.0,18,22.44798493385315,34,18
OK,0.0,0,34,1.0,18,0.0,0,1.0,18,24.16004776954651,37,18
OK,1.0,18,5,1.0,18,1.0,18,1.0,18,40.71358919143677,39,18
OK,1.0,18,18,1.0,18,1.0,18,1.0,18,22.13571071624756,41,18
OK,1.0,18,15,1.0,18,1.0,18,1.0,18,24.11074471473694,42,18
OK,1.0,18,11,1.0,18,1.0,18,1.0,18,27.90052318572998,44,18
OK,1.0,18,5,1.0,18,1.0,18,1.0,18,24.235575199127197,46,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,25.646218299865723,48,18
OK,1.0,18,10,1.0,18,1.0,18,1.0,18,27.534457683563232,52,18
OK,0.0,0,6,1.0,18,0.0,0,1.0,18,28.083297967910767,53,18
OK,1.0,18,5,1.0,18,1.0,18,1.0,18,26.693259716033936,55,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,26.803237676620483,60,18
OK,1.0,18,4,1.0,18,1.0,18,1.0,18,27.240324020385742,63,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,24.112449169158936,67,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,26.906293153762817,70,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,22.06693744659424,71,18
OK,1.0,18,17,1.0,18,1.0,18,1.0,18,21.05485224723816,72,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,24.5925931930542,73,18
