STATUS,attack_pdr,attack_rx,attacker_id,baseline_pdr,baseline_rx,both_pdr,both_rx,defense_pdr,defense_rx,elapsed_s,run,sent_per_window
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,21.336928844451904,4,18
OK,1.0,18,5,1.0,18,0.1667,3,1.0,18,22.151474714279175,7,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,21.090465784072876,11,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,27.360893487930298,17,18
OK,0.0,0,5,1.0,18,0.7222,13,1.0,18,27.62053894996643,21,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,22.32042694091797,23,18
OK,0.0,0,3,1.0,18,0.6667,12,1.0,18,25.345100164413452,25,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,24.636250019073486,27,18
OK,0.0,0,3,1.0,18,0.7222,13,1.0,18,26.762665510177612,30,18
OK,1.0,18,6,1.0,18,0.9444,17,1.0,18,27.44849991798401,31,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,24.23733949661255,32,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,25.8424551486969,33,18
OK,1.0,18,12,1.0,18,1.0,18,1.0,18,22.447738885879517,34,18
OK,0.0,0,34,1.0,18,0.7778,14,1.0,18,24.58960461616516,37,18
OK,1.0,18,5,1.0,18,0.3889,7,1.0,18,40.47562503814697,39,18
OK,1.0,18,18,1.0,18,0.3889,7,1.0,18,23.052666902542114,41,18
OK,1.0,18,15,1.0,18,1.0,18,1.0,18,23.983144760131836,42,18
OK,1.0,18,11,1.0,18,0.7222,13,1.0,18,28.032334089279175,44,18
OK,1.0,18,5,1.0,18,0.7222,13,1.0,18,24.721174001693726,46,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,40.36541700363159,48,18
OK,1.0,18,10,1.0,18,1.0,18,1.0,18,31.451982259750366,52,18
OK,0.0,0,6,1.0,18,0.7778,14,1.0,18,32.194501876831055,53,18
OK,1.0,18,5,1.0,18,1.0,18,1.0,18,31.039515256881714,55,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,32.04127025604248,60,18
OK,1.0,18,4,1.0,18,1.0,18,1.0,18,31.181330919265747,63,18
OK,1.0,18,3,1.0,18,0.7222,13,1.0,18,26.506545543670654,67,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,29.312140703201294,70,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,24.224109172821045,71,18
OK,1.0,18,17,1.0,18,1.0,18,1.0,18,24.97753381729126,72,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,25.454689979553223,73,18
